counter, roll, pitch, yaw, pan, tilt, lati, longi, timestp, heading, rateofturn, cog, sog2, sow, sog, temp, humidity, pressure, wind_speed, wind_angle, bb_roll, bb_pitch, bb_yaw, proc_ptu_mode, proc_colav_limit, proc_colav_speed, proc_surveil_speed
224102, -1.5578745603561401, -0.08729787915945053, -164.25054931640625, 10.430000305175781, -0.029999999329447746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3, 35.0, 0.015, 0.015 
224107, -0.2884172797203064, -0.052757445722818375, -164.1072540283203, 10.029999732971191, -0.029999999329447746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3, 35.0, 0.015, 0.015 
224108, 0.04387389495968819, -0.020653845742344856, -164.10671997070312, 9.949999809265137, -0.029999999329447746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3, 35.0, 0.015, 0.015 
224108, 0.04387389495968819, -0.020653845742344856, -164.10671997070312, 9.949999809265137, -0.029999999329447746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3, 35.0, 0.015, 0.015 
224109, 0.2170976996421814, -0.017093036323785782, -164.08096313476562, 9.949999809265137, -0.029999999329447746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3, 35.0, 0.015, 0.015 
224109, 0.2170976996421814, -0.017093036323785782, -164.08096313476562, 9.859999656677246, -0.029999999329447746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3, 35.0, 0.015, 0.015 
224112, 1.0112667083740234, 0.021814199164509773, -163.97312927246094, 9.619999885559082, -0.029999999329447746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3, 35.0, 0.015, 0.015 
224115, 1.6992651224136353, 0.11176948994398117, -163.9160614013672, 9.460000038146973, -0.029999999329447746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3, 35.0, 0.015, 0.015 
224116, 2.0277130603790283, 0.10221343487501144, -163.8955535888672, 9.300000190734863, -0.03999999910593033, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3, 35.0, 0.015, 0.015 
224120, 2.8653404712677, 0.2507871389389038, -163.7875518798828, 9.0600004196167, -0.09000000357627869, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3, 35.0, 0.015, 0.015 
